,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
376,Lasa,75,CY,1514080800,63,34.92,32.53,60.8,20.8
377,Bogalusa,90,US,1514081700,81,30.79,-89.85,53.6,5.82
378,Veinticinco de Mayo,92,AR,1514082754,99,-27.38,-54.75,71.68,5.14
379,Mezen,80,RU,1514082755,86,65.85,44.24,22.09,4.07
380,Derventa,0,BA,1514080800,80,44.98,17.91,39.2,2.24
381,Butler,90,US,1514081700,68,41.43,-84.87,30.2,10.29
382,Kaiu,40,EE,1514082000,64,59.01,25.06,35.6,25.28
383,Balezino,80,RU,1514082756,81,57.97,53.01,14.66,13.13
384,Jutai,48,BR,1514082757,98,-1.71,-47.89,73.66,2.35
385,Siguiri,0,GN,1514082757,59,11.42,-9.17,60.34,8.32
386,Massa Marittima,0,IT,1514080500,93,43.05,10.89,35.6,3.36
387,Chunoyar,68,RU,1514082758,68,57.45,97.32,1.79,2.51
388,Mittweida,75,DE,1514082000,81,50.99,12.98,46.4,18.34
389,Noblesville,1,US,1514081700,92,40.05,-86.01,32.0,3.36
390,Manutuke,0,NZ,1514082759,65,-38.68,177.91,67.13,12.08
391,Ailigandi,12,PA,1514082760,78,9.23,-78.02,79.64,5.59
392,Barmer,0,IN,1514082760,75,25.74,71.4,45.67,2.84
393,Zabid,0,YE,1514082761,53,14.2,44.5,23.17,3.13
394,Sijunjung,12,ID,1514082761,79,-0.69,100.95,79.19,3.29
395,Cave Spring,40,US,1514080500,76,37.23,-80.01,53.6,13.87
396,Sagua la Grande,20,CU,1514080200,94,22.81,-80.07,68.0,4.7
397,Blyth,40,GB,1514080200,87,55.12,-1.5,53.6,14.99
398,Carhuamayo,24,PE,1514082763,100,-10.92,-76.06,39.46,2.35
399,Brusyanskiy,92,RU,1514082764,87,53.99,38.09,22.54,21.14
400,Pont-a-Mousson,90,FR,1514080800,93,48.91,6.06,44.6,13.87
401,Zhuanghe,68,CN,1514082765,100,39.7,122.97,33.97,6.87
402,Sainte-Rose,40,CA,1514081100,92,45.61,-73.79,23.0,13.87
403,Hithadhoo,80,MV,1514082766,100,-0.6,73.08,82.61,4.85
404,Gamboula,32,CF,1514082766,82,4.12,15.14,70.15,5.75
405,Varhaug,75,NO,1514080200,87,58.61,5.65,42.8,3.36
406,Godinesti,0,RO,1514082767,91,45.0,22.97,23.89,3.74
407,Ahipara,100,NZ,1514082530,100,-35.17,173.16,64.93,11.9
408,Woodward,1,US,1514080500,63,36.43,-99.39,28.4,11.41
409,Veraval,90,FR,1514080800,100,49.65,0.71,48.2,9.17
410,Aanekoski,90,FI,1514082000,79,62.6,25.73,24.8,26.4
411,Balotra,0,IN,1514082769,71,25.83,72.24,48.37,2.73
412,Tieli,56,CN,1514082769,80,46.98,128.05,9.94,5.03
413,Simav,8,TR,1514082770,86,39.09,28.98,26.81,9.06
414,Kamarion,48,GR,1514080200,45,36.8,25.82,48.2,27.51
415,Outlook,56,CA,1514082770,63,51.48,-107.04,-0.6,3.58
416,Dmitriyevka,92,GE,1514082774,100,43.08,41.0,34.69,2.01
417,Atuona,0,PF,1514082774,100,-9.8,-139.03,80.41,10.18
418,Millau,90,FR,1514080800,86,44.1,3.08,32.0,1.12
419,Traipu,76,BR,1514082775,93,-9.97,-37.0,74.11,6.76
420,Shaunavon,32,CA,1514082776,71,49.65,-108.41,8.95,11.12
421,Trincomalee,76,LK,1514082776,87,8.58,81.23,78.34,5.26
422,Huilong,0,CN,1514082776,51,28.89,110.18,52.6,2.01
423,Palauig,0,PH,1514082777,74,15.44,119.9,85.94,4.81
424,Konstantinovka,92,MD,1514082777,92,47.99,28.86,30.41,13.47
425,Pirenopolis,0,BR,1514080800,88,-15.85,-48.96,66.2,2.84
426,Mujiayingzi,76,CN,1514082778,57,42.12,118.78,16.15,5.93
427,Kalmunai,8,LK,1514082779,92,7.42,81.82,77.03,6.38
428,Klyuchevskiy,0,RU,1514082779,25,53.53,119.45,-18.42,2.39
429,Kuytun,88,RU,1514082780,83,54.34,101.51,12.19,4.14
430,Nefteyugansk,40,RU,1514080800,85,61.09,72.61,17.6,8.95
431,Medea,40,DZ,1514080800,100,36.27,2.77,41.0,2.01
432,Jieshi,0,CN,1514082781,78,22.82,115.83,67.09,21.41
433,Gravatai,90,BR,1514080800,94,-29.94,-50.99,73.4,4.7
434,Amuntai,24,ID,1514082782,72,-2.42,115.25,86.26,3.58
435,Sidney,1,US,1514081700,78,47.72,-104.16,14.0,20.8
436,Stillwater,90,US,1514081700,92,36.12,-97.06,30.2,4.7
437,Kati,0,ML,1514080800,25,12.75,-8.07,64.4,12.75
438,Wenchi,0,GH,1514082784,60,7.74,-2.1,61.15,4.07
439,Waddan,64,LY,1514082784,89,29.16,16.14,38.24,6.87
440,Mingguang,0,CN,1514082785,56,32.78,118.01,45.26,21.63
441,Krasnyy Kholm,88,RU,1514082785,90,58.06,37.11,24.43,20.13
442,Verkhoyansk,56,RU,1514082786,0,67.55,133.39,-41.91,3.4
443,Uruguaiana,0,BR,1514080800,73,-29.77,-57.08,75.2,16.11
444,Klyuchi,0,RU,1514082789,72,52.25,79.17,6.52,11.63
445,Mulege,0,MX,1514082790,92,26.88,-111.98,50.53,6.31
446,Langham,75,CA,1514080800,77,52.36,-106.96,-2.21,5.82
447,Semme,90,FR,1514080800,93,46.2,1.5,39.2,3.36
448,Aswan,0,EG,1514077200,55,24.09,32.9,64.4,8.05
449,Bilibino,56,RU,1514082791,46,68.06,166.44,-30.07,2.39
450,Turukhansk,64,RU,1514082792,68,65.8,87.96,2.38,17.38
451,Zlobin,0,HR,1514082792,98,45.29,14.65,40.45,2.24
452,Linares,0,CL,1514082654,65,-35.85,-71.6,48.41,2.01
453,Kermanshah,0,IR,1514080800,19,34.32,47.07,50.0,6.93
454,Ahero,8,KE,1514082793,83,-0.17,34.92,59.66,3.62
455,Allapalli,0,IN,1514082794,84,19.43,80.06,68.17,3.13
456,Mount Darwin,88,ZW,1514082794,96,-16.77,31.58,67.99,4.52
457,Fianarantsoa,32,MG,1514082795,91,-21.45,47.09,59.35,1.9
458,Beroroha,12,MG,1514082795,87,-21.68,45.17,70.06,2.8
459,Carmarthen,92,GB,1514080200,100,51.86,-4.31,50.0,18.34
460,Correntina,8,BR,1514082796,95,-13.34,-44.63,67.9,2.51
461,Podgornoye,80,RU,1514082796,86,57.79,82.64,14.03,5.75
462,Alekseyevka,75,RU,1514080800,92,53.25,50.49,21.2,17.9
463,Zabol,0,IR,1514080800,52,31.03,61.49,42.8,1.28
464,Tiarei,75,PF,1514080800,74,-17.53,-149.33,86.0,10.29
465,Gunupur,0,IN,1514082798,87,19.07,83.81,65.69,3.4
466,Hostotipaquillo,32,MX,1514082798,68,21.06,-104.05,60.74,1.79
467,Lawrenceburg,90,US,1514081700,93,35.24,-87.33,44.6,5.82
468,Peyima,0,SL,1514082799,53,8.69,-11.04,63.49,5.03
469,Leningradskiy,8,RU,1514082800,79,69.38,178.42,22.31,18.23
470,Dannenberg,92,DE,1514082000,87,53.1,11.1,46.4,17.22
471,Viking,32,CA,1514082800,77,53.1,-111.78,14.93,10.96
472,Bayir,75,TR,1514080200,89,37.27,28.22,42.8,11.41
473,Indianola,90,US,1514080380,92,40.24,-100.42,19.4,8.05
474,Bossier City,90,US,1514081700,81,32.52,-93.73,42.8,3.36
475,Tias,0,ES,1514080800,67,28.96,-13.65,62.6,8.05
476,Caluquembe,0,AO,1514082803,87,-13.78,14.68,54.22,2.51
477,Nardaran,90,AZ,1514080800,87,40.56,50.01,46.4,18.34
478,Wuchang,44,CN,1514082804,86,44.93,127.16,4.49,6.26
479,Kalianget,56,ID,1514082805,70,-7.35,109.91,78.11,2.57
480,Phonhong,0,LA,1514079000,94,18.5,102.42,68.0,1.9
481,Salamiyah,88,SY,1514082805,53,35.01,37.05,51.11,8.16
482,Owatonna,1,US,1514081700,77,44.08,-93.23,12.2,10.29
483,Monte Alegre,24,BR,1514082806,84,-2.0,-54.07,77.03,3.24
484,Zarya,68,RU,1514082807,96,45.67,39.64,28.39,5.26
485,Gara,20,HU,1514080800,86,46.03,19.04,41.0,9.17
486,Tyssedal,92,NO,1514082808,95,60.12,6.56,30.73,3.91
487,Colomi,90,BO,1514080800,72,-17.34,-65.87,62.6,9.17
488,Jinotega,92,NI,1514082808,97,13.09,-86.0,66.55,4.36
489,Matamoros,1,US,1514080500,71,25.87,-97.51,60.8,3.62
490,Nortelandia,32,BR,1514082809,93,-14.45,-56.8,73.57,5.75
491,Tzucacab,0,MX,1514082810,73,20.07,-89.05,76.72,4.03
492,Tatarsk,56,RU,1514082810,76,55.22,75.96,7.42,10.45
493,Ceahlau,56,RO,1514082810,88,47.05,25.97,25.15,5.03
494,Riberalta,24,BO,1514082811,83,-11.0,-66.08,77.8,3.24
495,Hansi,24,IN,1514082811,86,29.11,75.96,50.48,2.84
496,Morropon,8,PE,1514082812,79,-5.18,-79.97,65.29,1.01
497,Vinh,92,VN,1514082812,100,18.67,105.69,61.87,15.59
498,Paris,90,FR,1514080800,87,48.86,2.35,48.2,5.82
499,Sokoto,0,NG,1514082813,39,13.06,5.24,66.37,13.47
500,Gimli,0,CA,1514082813,76,50.63,-96.99,-11.94,2.91
501,Saint-Malo,90,FR,1514082000,100,48.65,-2.02,48.2,11.41
502,Lalpur,0,BD,1514082814,90,24.18,88.96,67.31,4.52
503,Srikakulam,76,IN,1514082815,100,18.29,83.89,73.66,9.33
504,Ilinge,92,ZA,1514082815,99,-31.98,27.04,54.85,3.24
505,Nowshera,20,PK,1514080800,65,34.02,71.98,46.4,4.7
506,Cochrane,0,CL,1514082816,81,-47.25,-72.57,36.58,2.06
507,Santa Maria,90,BR,1514080800,94,-29.69,-53.81,73.4,8.05
508,Velsk,88,RU,1514082818,87,61.07,42.1,21.73,14.81
509,Arraias,36,BR,1514082818,92,-12.93,-46.94,70.46,2.84
510,Chino Valley,1,US,1514080500,22,34.76,-112.45,46.4,4.7
511,Taman,56,RU,1514080800,100,45.22,36.72,32.0,2.24
512,Magugu,0,TZ,1514082819,69,-4.02,35.77,59.8,4.74
513,San Miguel,20,AR,1514080800,55,-34.54,-58.72,66.2,10.29
514,Baghmara,0,IN,1514082820,86,23.8,86.21,59.66,4.59
515,Velyka Mykhaylivka,56,UA,1514082821,84,47.08,29.85,25.42,11.41
516,Ust-Kuyga,56,RU,1514082821,43,70.0,135.55,-27.6,6.08
517,LUGOBA,56,TZ,1514082822,77,-6.46,38.33,77.84,5.53
518,Nizhniy Tsasuchey,0,RU,1514082822,56,50.52,115.13,4.94,11.79
519,Porbandar,0,IN,1514082575,82,21.64,69.61,64.79,5.53
520,Pombas,56,BR,1514082823,95,-15.9,-54.74,70.19,3.4
521,Starosubkhangulovo,68,RU,1514082823,81,53.1,57.43,8.81,4.36
522,Malartic,90,CA,1514080800,92,48.14,-78.13,15.8,8.05
523,Rongcheng,92,CN,1514082824,89,37.16,122.42,42.38,8.95
524,Strezhevoy,90,RU,1514080800,92,60.73,77.6,15.8,11.18
525,Shaoyang,0,CN,1514082825,71,27.23,111.45,49.9,8.88
526,Ingraj Bazar,0,IN,1514082825,90,25.0,88.15,65.06,4.41
527,Xapuri,64,BR,1514082826,89,-10.65,-68.5,75.64,2.28
528,Mokobeng,92,BW,1514082826,99,-23.0,27.67,67.0,6.93
529,Minna,8,NG,1514082826,48,9.62,6.55,71.41,12.46
530,Verona,40,IT,1514080500,70,45.44,10.99,33.8,4.7
531,Arkadelphia,90,US,1514080500,81,34.12,-93.05,42.8,5.82
532,Camaqua,92,BR,1514082828,100,-30.85,-51.81,69.52,10.18
533,Harer,76,US,1514082828,80,42.19,-111.17,18.89,10.11
534,Mendeleyevo,90,RU,1514080800,92,56.04,37.23,26.6,15.66
535,Batticaloa,56,LK,1514082830,100,7.71,81.69,79.19,4.92
536,Morgan City,1,US,1514081700,81,29.7,-91.21,53.6,8.05
537,Rabat,0,MA,1514080800,93,34.02,-6.83,42.8,3.8
538,Lengshuijiang,0,CN,1514082831,63,27.66,111.45,49.81,7.09
539,Marovoay,40,MG,1514080800,94,-16.11,46.64,77.0,5.03
540,Bahia Blanca,0,AR,1514082603,71,-38.72,-62.27,61.28,11.07
541,Otautau,24,NZ,1514082832,55,-46.14,168.0,73.79,19.17
542,Serov,76,RU,1514082832,66,59.61,60.57,20.92,7.65
543,Red Bluff,1,US,1514080500,46,40.18,-122.24,51.8,4.7
544,Magway,0,MM,1514082834,79,20.15,94.92,72.08,5.03
545,Cockburn Town,12,TC,1514082712,100,21.46,-71.14,78.34,16.15
546,Orotukan,44,RU,1514082834,0,62.26,151.67,-32.91,3.02
547,Kaiyuan,68,CN,1514082835,57,42.54,124.04,15.88,8.05
548,Hope,1,CA,1514080800,62,49.38,-121.43,24.8,16.11
549,Orange Cove,1,US,1514080560,70,36.62,-119.31,53.6,4.7
550,Mahanoro,80,MG,1514082836,100,-19.9,48.8,71.41,2.39
551,Molchanovo,76,RU,1514082836,83,57.58,83.76,13.31,9.44
552,Carupano,76,VE,1514082837,100,10.67,-63.26,76.04,11.79
553,Winnemucca,1,US,1514080560,89,40.97,-117.74,32.0,6.93
554,Nuqui,88,CO,1514082838,100,5.71,-77.27,76.09,8.16
555,Ciudad Bolivar,12,VE,1514082838,76,8.12,-63.55,76.45,12.19
556,Ojhar,0,IN,1514082839,70,20.09,73.93,56.74,2.8
557,Kerrville,1,US,1514081700,86,30.05,-99.14,42.8,7.94
558,Itaocara,0,BR,1514082840,91,-21.67,-42.08,70.91,1.5
559,Miyako,75,JP,1514080800,81,33.63,130.94,55.4,1.12
